province_isocode;region_isocode;cashless_id;date_id;transactions_value;transactions_volume
SB;SM;RTGS;26;4379.685;759
SB;SM;RTGS;27;6479.304;1024
SB;SM;RTGS;28;6909.009;992
SB;SM;RTGS;29;5885.078;907
SB;SM;RTGS;30;5181.372;1138
SB;SM;RTGS;31;4079.181;998
SB;SM;RTGS;32;5694.254;1101
SB;SM;RTGS;33;7637.478;1098
SB;SM;RTGS;34;6828.443;1193
SB;SM;RTGS;35;8135.417;972
SB;SM;RTGS;36;9710.956;891
RI;SM;DBTC;1;12785.027;9581244
RI;SM;DBTC;2;12367.634;10116282
RI;SM;DBTC;3;12456.911;9371890
RI;SM;DBTC;4;10963.480;6818408
RI;SM;DBTC;5;12552.129;7858555
RI;SM;DBTC;6;9451.253;7494064
RI;SM;DBTC;7;13476.876;8764942
RI;SM;DBTC;8;13321.973;9098051
RI;SM;DBTC;9;13102.495;8994595
RI;SM;DBTC;10;14103.894;10340058
RI;SM;DBTC;11;13242.998;8088958
RI;SM;DBTC;12;15168.874;10142755
RI;SM;DBTC;13;13211.702;8230153
RI;SM;DBTC;14;12265.035;8817291
RI;SM;DBTC;15;14508.120;10398957
RI;SM;DBTC;16;14268.786;10928509
RI;SM;DBTC;17;15202.775;10696580
RI;SM;DBTC;18;13926.580;9088124
RI;SM;DBTC;19;15017.526;11361029
RI;SM;DBTC;20;12825.926;7856934
RI;SM;DBTC;21;13916.857;14703218
RI;SM;DBTC;22;13950.631;8253024
RI;SM;DBTC;23;14239.839;8474273
RI;SM;DBTC;24;15797.837;9026662
RI;SM;DBTC;25;16784.468;10785692
RI;SM;DBTC;26;15624.291;9774424
RI;SM;DBTC;27;18053.344;12062615
RI;SM;DBTC;28;19346.084;11672158
RI;SM;DBTC;29;15646.983;10902495
RI;SM;DBTC;30;15402.393;10840669
RI;SM;DBTC;31;18356.912;12073070
RI;SM;DBTC;32;17856.028;11854849
RI;SM;DBTC;33;15581.161;10240316
RI;SM;DBTC;34;15777.036;10365640
RI;SM;DBTC;35;15550.202;9993044
RI;SM;DBTC;36;16885.391;10926830
RI;SM;CRDC;1;159.792;304675
RI;SM;CRDC;2;140.639;284954
RI;SM;CRDC;3;144.113;259205
RI;SM;CRDC;4;103.215;183753
RI;SM;CRDC;5;89.816;174391
RI;SM;CRDC;6;101.683;201547
RI;SM;CRDC;7;104.592;206742
RI;SM;CRDC;8;104.865;224033
RI;SM;CRDC;9;97.863;200470
RI;SM;CRDC;10;108.551;178826
RI;SM;CRDC;11;122.792;195297
RI;SM;CRDC;12;130.160;198006
RI;SM;CRDC;13;161.085;175805
RI;SM;CRDC;14;100.691;179731
RI;SM;CRDC;15;116.593;220429
RI;SM;CRDC;16;112.962;191107
RI;SM;CRDC;17;113.777;198386
RI;SM;CRDC;18;108.830;217248
RI;SM;CRDC;19;108.941;173883
RI;SM;CRDC;20;112.848;193040
RI;SM;CRDC;21;157.064;205928
RI;SM;CRDC;22;164.275;220346
RI;SM;CRDC;23;179.740;234688
RI;SM;CRDC;24;198.073;247566
RI;SM;CRDC;25;147.220;214254
RI;SM;CRDC;26;117.357;178842
RI;SM;CRDC;27;106.875;187075
RI;SM;CRDC;28;148.443;203501
RI;SM;CRDC;29;143.692;225360
RI;SM;CRDC;30;157.070;215995
RI;SM;CRDC;31;152.732;217201
RI;SM;CRDC;32;163.142;232017
RI;SM;CRDC;33;163.389;213496
RI;SM;CRDC;34;149.775;226478
RI;SM;CRDC;35;186.499;230911
RI;SM;CRDC;36;184.256;222852
RI;SM;SCLR;1;3518.137;305
RI;SM;SCLR;2;3175.703;285
RI;SM;SCLR;3;3286.975;259
RI;SM;SCLR;4;3036.984;184
RI;SM;SCLR;5;2565.563;174
RI;SM;SCLR;6;3157.946;202
RI;SM;SCLR;7;3253.060;207
RI;SM;SCLR;8;3124.392;224
RI;SM;SCLR;9;3433.400;200
RI;SM;SCLR;10;3207.577;179
RI;SM;SCLR;11;3584.153;195
RI;SM;SCLR;12;4026.128;198
RI;SM;SCLR;13;3344.485;176
RI;SM;SCLR;14;2903.125;180
RI;SM;SCLR;15;3562.458;220
RI;SM;SCLR;16;3514.172;191
RI;SM;SCLR;17;3023.129;198
RI;SM;SCLR;18;3453.335;217
RI;SM;SCLR;19;3529.321;174
RI;SM;SCLR;20;3712.503;193
RI;SM;SCLR;21;3878.810;206
